code,name,regencyCode
"11.01.01","BAKONGAN","11.01"
"11.01.02","KLUET UTARA","11.01"
"11.01.03","KLUET SELATAN","11.01"
"11.01.05","MEUKEK","11.01"
"11.01.06","SAMADUA","11.01"
"11.01.07","SAWANG","11.01"
"11.01.08","TAPAKTUAN","11.01"
"11.01.09","TRUMON","11.01"
"11.01.10","PASI RAJA","11.01"
"11.01.11","LABUHAN HAJI TIMUR","11.01"
"11.01.12","LABUHAN HAJI BARAT","11.01"
"11.01.13","KLUET TENGAH","11.01"
"11.01.14","KLUET TIMUR","11.01"
"11.01.15","BAKONGAN TIMUR","11.01"
"11.01.16","TRUMON TIMUR","11.01"
"11.02.01","LAWE ALAS","11.02"
"11.02.02","LAWE SIGALA-GALA","11.02"
"11.02.03","BAMBEL","11.02"
"11.02.04","BABUSSALAM","11.02"
"11.02.05","BADAR","11.02"
"11.02.06","BABUL MAKMUR","11.02"
"11.02.07","DARUL HASANAH","11.02"
"11.02.08","LAWE BULAN","11.02"
"11.02.09","BUKIT TUSAM","11.02"
"11.02.10","SEMADAM","11.02"
"11.02.11","BABUL RAHMAH","11.02"
"11.03.01","DARUL AMAN","11.03"
"11.03.02","JULOK","11.03"
"11.03.03","IDI RAYEUK","11.03"
"11.03.04","BIREM BAYEUN","11.03"
"11.03.05","SERBAJADI","11.03"
"11.03.06","NURUSSALAM","11.03"
"11.03.07","PEUREULAK","11.03"
"11.03.08","RANTAU SELAMAT","11.03"
"11.03.09","SIMPANG ULIM","11.03"
"11.03.10","RANTO PEUREULAK","11.03"
"11.03.11","PANTE BIDARI","11.03"
"11.03.12","MADAT","11.03"
"11.03.13","INDRA MAKMU","11.03"
"11.03.14","IDI TUNONG","11.03"
"11.03.15","BANDA ALAM","11.03"
"11.03.16","PEUDAWA","11.03"
"11.03.17","PEUREULAK TIMUR","11.03"
"11.03.18","PEUREULAK BARAT","11.03"
"11.03.19","SUNGAI RAYA","11.03"
"11.03.20","SIMPANG JERNIH","11.03"
"11.03.21","DARUL IHSAN","11.03"
"11.04.01","LINGE","11.04"
"11.04.02","SILIH NARA","11.04"
"11.04.03","BEBESEN","11.04"
"11.04.07","PEGASING","11.04"
"11.04.08","BINTANG","11.04"
"11.04.10","KETOL","11.04"
"11.04.11","KEBAYAKAN","11.04"
"11.04.12","KUTE PANANG","11.04"
"11.04.13","CELALA","11.04"
"11.04.17","LAUT TAWAR","11.04"
"11.05.01","JOHAN PAHLAWAN","11.05"
"11.05.02","KAWAY XVI","11.05"
"11.05.03","SUNGAI MAS","11.05"
"11.05.04","WOYLA","11.05"
